method,forward_passes,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,per_engine_compliance,latency_ms_per_sample,params,coverage_half_life_feat_oob_abs,coverage_half_life_feat_oob_rel
"MSE (no UQ, fixed sigma)",1,0.8940711462450593,0.0070705706798412475,54.345716094970705,1.2682343730772703,0.05926357395464944,0.015515725708016542,0.5217391304347826,TBD_see_latency_step,70145,0.011159540807468005,0.01050678303084774
Heteroscedastic NLL,1,0.8964426877470355,0.034952871097919606,49.791663360595706,2.1123652686272187,0.032165591845225695,0.01406362052347559,0.7312252964426877,TBD_see_latency_step,70210,0.009315167851016909,0.009517991824964756
MC Dropout (Kendall&Gal-corrected),T=50,0.9027667984189722,0.010679253823008912,56.09217529296875,1.4873080453143823,0.05792386103598914,0.022104896469263127,0.5731225296442688,TBD_see_latency_step,70145,0.021285902503293805,0.011008162046656632
"Deep Ensemble (M=5, option A)",M=5,0.932806324110672,n/a (single ensemble),52.51568603515625,n/a (single ensemble),0.04614104431038065,n/a (single ensemble),0.8023715415019763,TBD_see_latency_step,351050,0.011298061153228652,0.010322954419461898
Split-CP (norm),1 + calibration,0.9154150197628459,0.023483716644289256,52.60160369873047,2.4040282666306685,0.028121489494487194,0.01016619005104221,0.758893280632411,TBD_see_latency_step,70210,0.009785573583202044,0.009494906498859071
