method,forward_passes,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,per_engine_compliance,latency_ms_per_sample,params,coverage_half_life_feat_oob
"MSE (no UQ, fixed sigma)",1,0.8540084388185655,0.019473385247619112,55.249996948242185,1.657675420335518,0.04045303131245835,0.012932523343150596,0.6286919831223629,"0.001668 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",54849,0.008560320712436205
Heteroscedastic NLL,1,0.8928270042194093,0.03343732110744128,58.001834869384766,6.298392960323739,0.02828336664445924,0.017075053386223303,0.7637130801687764,"0.001698 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",54914,0.01216437494588264
MC Dropout (Kendall&Gal-corrected),T=50,0.8649789029535864,0.01765105541211129,57.57656326293945,1.9369356302767564,0.04378414390406395,0.014914017673702455,0.6540084388185654,"0.087542 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",54849,0.009634621820345104
"Deep Ensemble (M=5, option A)",M=5,0.9324894514767933,n/a (single ensemble),61.46781921386719,n/a (single ensemble),0.0449033977348434,n/a (single ensemble),0.8227848101265823,"0.007744 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",274570,0.022220533880073084
Split-CP (norm),1 + calibration,0.889451476793249,0.014432600317710598,56.719268798828125,2.7039145176162562,0.03826337996890965,0.0070593918044726135,0.7383966244725738,"0.001702 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",54914,0.0118150802984354
