method,forward_passes,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,per_engine_compliance,latency_ms_per_sample,params,coverage_half_life_feat_oob
"MSE (no UQ, fixed sigma)",1,0.79,0.06633249580710802,38.54861907958984,6.1563667176110926,0.06884210526315793,0.03195261380679012,0.37,"0.001654 (platform batch=512, tiled real test windows, pooled median across 5 independent full-protocol reruns x11 rounds=55 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",53825,0.002596117216117213
Heteroscedastic NLL,1,0.866,0.02073644135332774,42.195465850830075,2.433167415834567,0.03494736842105264,0.0077940953572350835,0.69,"0.001678 (platform batch=512, tiled real test windows, pooled median across 5 independent full-protocol reruns x11 rounds=55 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",53890,0.002375569892473115
MC Dropout (Kendall&Gal-corrected),T=50,0.826,0.06024948132556828,41.53078689575195,6.485698897119372,0.06736842105263159,0.02493481807342036,0.44,"0.085632 (platform batch=512, tiled real test windows, pooled median across 5 independent full-protocol reruns x11 rounds=55 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",53825,0.02080039215686256
"Deep Ensemble (M=5, option A)",M=5,0.91,n/a (single ensemble),45.054500579833984,n/a (single ensemble),0.03157894736842101,n/a (single ensemble),0.81,"0.007592 (platform batch=512, tiled real test windows, pooled median across 5 independent full-protocol reruns x11 rounds=55 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",269450,0.02394838559814158
Split-CP (norm),1 + calibration,0.8799999999999999,0.033166247903554026,45.59589385986328,4.859790273902615,0.03789473684210527,0.015194947403423224,0.75,"0.001660 (platform batch=512, tiled real test windows, pooled median across 5 independent full-protocol reruns x11 rounds=55 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",53890,0.002882235449735449
