method,forward_passes,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,per_engine_compliance,latency_ms_per_sample,params,coverage_half_life_feat_oob
"MSE (no UQ, fixed sigma)",1,0.8735177865612649,0.012182636369503891,54.17025527954102,1.6200278507939525,0.0341668400249636,0.008315340147231481,0.48221343873517786,"0.001692 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",54849,0.01791894764470015
Heteroscedastic NLL,1,0.9130434782608695,0.026218377789370723,51.62547149658203,1.9139554081852639,0.029627626378198435,0.005934114214162236,0.7470355731225297,"0.001680 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",54914,0.00908915239350022
MC Dropout (Kendall&Gal-corrected),T=50,0.8877470355731225,0.012989467766920948,56.29871444702148,1.6294336899089104,0.03898481381318909,0.007098837468285921,0.5296442687747036,"0.086786 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",54849,0.018438469458929813
"Deep Ensemble (M=5, option A)",M=5,0.9644268774703557,n/a (single ensemble),54.62656021118164,n/a (single ensemble),0.05831079675473265,n/a (single ensemble),0.8102766798418972,"0.007714 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",274570,0.01780538771018531
Split-CP (norm),1 + calibration,0.9320158102766797,0.01883182490050844,53.718912506103514,5.2343173796820395,0.03670064489286455,0.019762382703998983,0.766798418972332,"0.001676 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; passes all 4 hard acceptance ratios on pooled median; see latency_platform_batch512_FINAL_pooled.json + COST_TABLE_NOTES.md)",54914,0.00930434356225829
