method,forward_passes,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,per_engine_compliance,latency_ms_per_sample,params,coverage_half_life_feat_oob
"MSE (no UQ, fixed sigma)",1,0.818,0.024899799195977446,34.310892486572264,3.733752630939892,0.06315789473684212,0.01387518560680427,0.5,"0.001668 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; 3/4 hard acceptance ratios pass on pooled median; see latency_FD003_platform_batch512_*.json)",53825,0.0001756469989144952
Heteroscedastic NLL,1,0.8640000000000001,0.03974921382870362,37.07468032836914,1.929291222946207,0.046,0.011450241623694981,0.73,"0.001622 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; 3/4 hard acceptance ratios pass on pooled median; see latency_FD003_platform_batch512_*.json)",53890,0.0017530114610889596
MC Dropout (Kendall&Gal-corrected),T=50,0.8400000000000001,0.028284271247461877,37.26841583251953,4.059670713903028,0.061473684210526326,0.016056513766974142,0.58,"0.085922 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; 3/4 hard acceptance ratios pass on pooled median; see latency_FD003_platform_batch512_*.json)",53825,0.001089371194261497
"Deep Ensemble (M=5, option A)",M=5,0.91,n/a (single ensemble),40.631229400634766,n/a (single ensemble),0.09315789473684206,n/a (single ensemble),0.78,"0.007652 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; 3/4 hard acceptance ratios pass on pooled median; see latency_FD003_platform_batch512_*.json)",269450,0.0064338739110973275
Split-CP (norm),1 + calibration,0.9099999999999999,0.028284271247461877,46.046697998046874,10.903323129321457,0.06578947368421052,0.021141260808836767,0.78,"0.001684 (platform batch=512, tiled real test windows, pooled median across 3 independent full-protocol reruns x11 rounds=33 rounds; 3/4 hard acceptance ratios pass on pooled median; see latency_FD003_platform_batch512_*.json)",53890,0.00510175865827664
