method,forward_passes,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,per_engine_compliance,latency_ms_per_sample,params,coverage_half_life_feat_oob_abs,coverage_half_life_feat_oob_rel
"MSE (no UQ, fixed sigma)",1,0.8118143459915613,0.01595584000100339,47.54200973510742,2.1370876471615947,0.06107039751276929,0.011724086212157255,0.5949367088607594,TBD_see_latency_step,70145,0.0026700104541001937,0.004806996676269536
Heteroscedastic NLL,1,0.8658227848101265,0.017242883326331265,50.48060607910156,3.771304228360644,0.029469242727070855,0.005184302419041608,0.7468354430379747,TBD_see_latency_step,70210,0.002595033133501578,0.004474103683963777
MC Dropout (Kendall&Gal-corrected),T=50,0.8354430379746836,0.020885010414792553,50.02503204345703,2.71043215391252,0.043846324672440616,0.015376400327753772,0.6371308016877637,TBD_see_latency_step,70145,0.004743873393541521,0.005010468594887003
"Deep Ensemble (M=5, option A)",M=5,0.9071729957805907,n/a (single ensemble),55.059444427490234,n/a (single ensemble),0.055474128358871826,n/a (single ensemble),0.8185654008438819,TBD_see_latency_step,351050,0.004906118853798178,0.0049418403443719896
Split-CP (norm),1 + calibration,0.8658227848101265,0.018963886121725112,51.737422180175784,2.1929547468410178,0.0944126138130136,0.015062831301504286,0.759493670886076,TBD_see_latency_step,70210,0.002613717662366975,0.004446006698734766
