method,forward_passes,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,per_engine_compliance,latency_ms_per_sample,params,coverage_half_life_feat_oob_abs,coverage_half_life_feat_oob_rel
"MSE (no UQ, fixed sigma)",1,0.8700000000000001,0.012247448713915901,41.930712127685545,1.938718220509642,0.0643157894736842,0.017201752149368674,0.54,"0.004996 (platform batch=512, unified T2 session with LSTM, single run x11 rounds; 2/4 hard acceptance ratios pass; see latency_T2_unified_platform_batch512_run1.json)",69889,0.005072987311907,0.0132316847019809
Heteroscedastic NLL,1,0.892,0.03346640106136305,43.40402221679688,3.3528993783958025,0.0444210526315789,0.012689559911514738,0.78,"0.004852 (platform batch=512, unified T2 session with LSTM, single run x11 rounds; 2/4 hard acceptance ratios pass; see latency_T2_unified_platform_batch512_run1.json)",69954,0.0120894670673706,0.0154209351683175
MC Dropout (Kendall&Gal-corrected),T=50,0.912,0.01483239697419134,45.74829940795898,2.58565196231694,0.0803157894736841,0.015905712487992853,0.66,"0.293230 (platform batch=512, unified T2 session with LSTM, single run x11 rounds; 2/4 hard acceptance ratios pass; see latency_T2_unified_platform_batch512_run1.json)",69889,0.0140962453569989,0.0101591691433783
"Deep Ensemble (M=5, option A)",M=5,0.92,n/a (single ensemble),45.40378952026367,n/a (single ensemble),0.0684210526315789,n/a (single ensemble),0.81,"0.023856 (platform batch=512, unified T2 session with LSTM, single run x11 rounds; 2/4 hard acceptance ratios pass; see latency_T2_unified_platform_batch512_run1.json)",349770,0.1551697355790205,0.0904376472641585
Split-CP (norm),1 + calibration,0.8939999999999999,0.005477225575051666,43.8512077331543,5.423822930050008,0.0562105263157894,0.03260057950303217,0.78,"0.005196 (platform batch=512, unified T2 session with LSTM, single run x11 rounds; 2/4 hard acceptance ratios pass; see latency_T2_unified_platform_batch512_run1.json)",69954,0.0120182719302539,0.0135040834874707
