method,forward_passes,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,per_engine_compliance,latency_ms_per_sample,params,coverage_half_life_feat_oob_abs,coverage_half_life_feat_oob_rel
"MSE (no UQ, fixed sigma)",1,0.788,0.02588435821108956,34.49642372131348,3.2242982951886336,0.0664210526315789,0.022537749188953068,0.54,"0.007182 (platform batch=512, unified T2 session with LSTM, single run x11 rounds; 3/4 hard acceptance ratios pass; see latency_T2_unified_platform_batch512_run1.json)",69889,2.1519815446062733e-05,0.0052513499729696
Heteroscedastic NLL,1,0.884,0.018165902124584965,39.13798217773437,3.4817760412325214,0.0470526315789473,0.021785278009475544,0.77,"0.007190 (platform batch=512, unified T2 session with LSTM, single run x11 rounds; 3/4 hard acceptance ratios pass; see latency_T2_unified_platform_batch512_run1.json)",69954,0.0014947394811142,0.0019960850221153
MC Dropout (Kendall&Gal-corrected),T=50,0.8379999999999999,0.030331501776206228,37.53000183105469,3.856304850868711,0.0618947368421052,0.010563093645728076,0.58,"0.419980 (platform batch=512, unified T2 session with LSTM, single run x11 rounds; 3/4 hard acceptance ratios pass; see latency_T2_unified_platform_batch512_run1.json)",69889,0.0013441775081231,0.0055201848043496
"Deep Ensemble (M=5, option A)",M=5,0.94,n/a (single ensemble),42.864784240722656,n/a (single ensemble),0.0799999999999999,n/a (single ensemble),0.87,"0.035528 (platform batch=512, unified T2 session with LSTM, single run x11 rounds; 3/4 hard acceptance ratios pass; see latency_T2_unified_platform_batch512_run1.json)",349770,0.0304396713493785,0.0136558292876081
Split-CP (norm),1 + calibration,0.8940000000000001,0.023021728866442697,44.756771850585935,11.675277966591224,0.0884210526315789,0.011102643741962613,0.85,"0.007196 (platform batch=512, unified T2 session with LSTM, single run x11 rounds; 3/4 hard acceptance ratios pass; see latency_T2_unified_platform_batch512_run1.json)",69954,0.0019277016331684,0.0021689999674636
